ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,1.286,1.598,2.04208974359,0.282,0.637132
2,1.718,2.112,1.64332994924,0.364,0.647472
3,2.369,2.812,1.43652370203,0.38,0.63638
4,3.334,4.194,2.6042372093,0.628,2.239644
5,5.906,6.581,3.41045925926,0.578,2.30206
6,8.232,9.074,2.8934584323,0.713,2.436292
7,10.865,11.879,2.45104536489,0.874,2.48536
8,13.773,14.578,3.20160496894,0.707,2.577292
9,16.564,17.608,2.42887356322,0.948,2.535744
10,19.431,20.427,2.72826506024,0.854,2.717352
11,22.87,24.663,1.46342219743,1.269,2.623916
12,26.325,27.315,2.67510707071,0.639,2.648356
13,29.1,30.034,2.89367023555,0.766,2.702688
14,32.199,33.004,3.4061863354,0.594,2.74198
15,35.23,36.477,2.22991820369,0.948,2.780708
16,38.581,39.675,2.42114442413,0.728,2.648732
17,41.453,42.836,1.91493564714,0.726,2.648356
18,44.239,45.364,2.43998933333,0.797,2.744988
19,47.208,48.909,1.5984973545,1.44,2.719044
20,53.512,55.382,1.36707165775,1.531,2.556424
21,63.307,64.198,2.9588372615,0.633,2.636324
22,73.335,74.08,3.32066040268,0.544,2.473892
23,83.237,84.692,1.56007697595,1.032,2.269912
24,92.836,93.75,2.28027133479,0.535,2.084168
25,102.86,103.679,2.74654456654,0.588,2.24942
26,112.911,113.802,2.71407856341,0.645,2.418244
27,123.681,124.383,3.25598860399,0.585,2.285704
28,133.165,133.821,3.46252439024,0.568,2.271416
29,142.974,144.494,2.2795,0.219,3.46484
