ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,0.369,0.695,1.67700613497,0.111,0.546704
2,0.751,1.243,1.30377235772,0.326,0.641456
3,1.285,1.498,2.79352112676,0.05,0.59502
4,1.602,1.736,2.22092537313,0.051,0.297604
5,1.819,1.998,3.43651396648,0.032,0.615136
6,2.455,3.15,3.22521151079,0.057,2.241522
7,3.187,3.96,3.24075032342,0.15,2.5051
8,4.021,4.731,2.87692957746,0.118,2.04262
9,4.832,5.167,3.11248955224,0.05,1.042684
10,5.224,6.125,3.93276803552,0.05,3.543424
11,6.205,7.172,3.80996483971,0.05,3.684236
12,7.237,7.514,10.4268736462,0.152,2.888244
13,8.355,8.609,14.7535590551,0.173,3.747404
14,13.053,13.2,23.5179047619,0.086,3.457132
15,16.152,16.316,21.7701707317,0.085,3.570308
16,19.218,19.38,20.8204197531,0.094,3.372908
17,22.316,22.608,12.4195890411,0.21,3.62652
18,24.25,24.54,12.1143310345,0.22,3.513156
19,28.746,28.934,19.987,0.123,3.757556
20,31.987,32.485,4.82306827309,0.049,2.401888
21,34.143,35.019,3.75785388128,0.033,3.29188
22,36.91,38.371,2.0620807666,0.398,3.0127
23,40.495,41.366,3.10102870264,0.011,2.700996
24,42.571,43.672,2.33557129882,0.042,2.571464
25,45.083,46.179,2.37058394161,0.015,2.59816
26,47.612,48.95,2.79527055306,0.056,3.740072
27,50.596,51.809,2.83968342951,0.082,3.444536
28,53.856,54.823,3.09373733195,0.069,2.991644
29,56.544,57.802,2.96212082671,0.147,3.726348
30,59.88,60.715,3.73208143713,0.032,3.116288
31,63.069,63.619,4.28947636364,0.066,2.359212
32,64.919,65.769,3.75137411765,0.044,3.188668
33,67.56,68.338,4.80994858612,0.048,3.74214
34,70.65,71.521,3.72481745121,0.086,3.244316
35,73.539,74.434,3.95157094972,0.051,3.536656
36,76.785,78.762,1.64797167425,0.076,3.25804
37,82.019,82.864,4.23122366864,0.057,3.575384
