ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,0.492,0.824,1.58384337349,0.044,0.525836
2,0.849,1.116,1.45048689139,0.129,0.38728
3,1.159,1.326,2.17719760479,0.064,0.363592
4,1.424,1.643,2.87322374429,0.075,0.629236
5,1.959,2.135,3.71406818182,0.051,0.653676
6,2.607,2.801,3.31519587629,0.058,0.643148
7,3.29,3.81,6.78246153846,0.038,3.52688
8,6.207,6.733,6.67435741445,0.041,3.510712
9,9.006,9.534,6.72847727273,0.094,3.552636
10,12.077,12.531,4.85735682819,0.072,2.20524
11,13.974,14.606,6.33191139241,0.055,4.001768
12,17.324,18.3,3.82857377049,0.047,3.736688
13,20.408,20.928,6.92346153846,0.038,3.6002
14,23.232,23.789,5.67172710952,0.059,3.159152
15,25.949,26.472,7.31834034417,0.059,3.827492
16,29.43,29.889,3.76122875817,0.119,1.726404
17,31.011,31.951,2.234,0.116,2.09996
18,33.547,34.632,3.10953732719,0.197,3.373848
19,36.262,37.281,2.34068302257,0.128,2.385156
20,38.175,39.018,3.31308185053,0.178,2.792928
21,40.644,41.582,2.1712196162,0.095,2.036604
22,42.175,43.241,2.70712945591,0.093,2.8858
23,44.577,45.853,2.91075862069,0.101,3.714128
24,47.734,48.362,4.78471974522,0.075,3.004804
25,49.971,51.2,2.85946623271,0.127,3.514284
26,52.784,53.546,3.91790026247,0.111,2.98544
27,55.25,56.327,2.5305812442,0.097,2.725436
28,57.572,58.543,2.69047167868,0.203,2.612448
29,59.699,60.507,2.93075247525,0.186,2.368048
30,61.837,62.488,3.7894562212,0.051,2.466936
31,64.08,64.801,4.00301803051,0.104,2.886176
32,66.579,69.087,1.52259011164,0.136,3.818656
33,69.874,70.844,3.71677938144,0.085,3.605276
34,72.812,73.672,4.4936372093,0.066,3.864528
35,76.158,77.028,3.85248735632,0.122,3.351664
36,79.085,80.041,3.06443933054,0.129,2.929604
37,81.52,83.112,2.30559798995,0.21,3.670512
38,84.518,85.815,2.4912536623,0.065,3.231156
39,87.201,88.591,2.90683165468,0.129,4.040496
40,90.553,91.404,3.61640423032,0.164,3.07756
41,93.238,94.238,3.24394,0.143,3.24394
42,95.866,96.152,1.12865734266,0.119,0.322796
