ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,0.714,2.76,0.119636363636,0.146,0.244776
2,3.242,4.912,0.153777245509,0.295,0.256808
3,5.026,5.677,0.390150537634,0.269,0.253988
4,5.78,6.708,0.257689655172,0.23,0.239136
5,6.824,8.071,0.235640737771,0.195,0.293844
6,8.537,10.291,0.1491995439,0.242,0.261696
7,13.216,14.326,0.353135135135,0.385,0.39198
8,14.492,17.243,0.117952744457,0.362,0.324488
9,18.683,20.341,0.59189384801,0.269,0.98136
10,22.069,23.548,0.343947937796,0.373,0.508699
11,23.808,30.008,0.489770322581,0.061,3.036576
12,30.433,34.412,0.55818848957,0.333,2.221032
13,35.098,40.574,0.441642074507,0.213,2.418432
14,41.825,44.848,0.747708898445,0.393,2.260324
15,44.921,45.769,0.223002358491,0.335,0.189106
16,45.773,50.854,0.672337728794,0.123,3.416148
17,51.621,55.717,0.666766601563,0.16,2.731076
18,55.988,56.135,0.732244897959,0.057,0.10764
19,56.172,60.682,0.428731707317,0.343,1.93358
20,62.095,63.968,0.821659369995,0.354,1.538968
21,64.151,66.145,0.79216449348,0.245,1.579576
22,66.352,69.182,0.606648763251,0.287,1.716816
23,69.478,71.501,0.501736035591,1.989,1.015012
24,72.917,75.216,0.419667681601,1.14,0.964816
25,75.346,77.588,0.735900089206,0.27,1.649888
26,77.826,82.348,0.782474126493,0.297,3.538348
27,87.424,91.707,0.734968947,0.353,3.147872
28,91.869,96.979,0.770100978474,0.321,3.935216
29,98.731,102.022,0.874591309632,0.352,2.87828
30,102.201,105.778,0.855959742801,0.212,3.061768
31,107.127,110.854,0.787209015294,0.642,2.933928
32,113.108,117.754,0.19603960396,0.234,0.9108
