ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,0.537,0.658,2.3880661157,0.042,0.288956
2,0.813,0.98,1.26871856287,0.119,0.211876
3,1.131,1.352,2.09266968326,0.201,0.46248
4,1.67,2.534,3.87924074074,0.286,3.351664
5,4.467,5.307,4.6726952381,0.026,3.925064
6,8.728,9.376,5.0095617284,0.037,3.246196
7,11.422,12.359,3.91770330843,0.02,3.670888
8,17.1,18.041,3.80375345377,0.033,3.579332
9,19.499,20.765,2.41741864139,0.409,3.060452
10,22.709,23.486,3.81177863578,0.05,2.961752
11,25.144,25.76,3.52042207792,0.054,2.16858
12,27.112,27.807,4.9824057554,0.017,3.462772
13,30.189,30.907,4.01450696379,0.083,2.882416
14,32.614,33.129,6.06126601942,0.039,3.121552
15,35.324,35.839,4.74453592233,0.201,2.443436
16,37.717,38.241,5.25538931298,0.035,2.753824
17,40.034,40.457,5.22222222222,0.027,2.209
18,42.253,42.82,5.08196825397,0.023,2.881476
19,44.998,45.683,5.55848759124,0.022,3.807564
20,48.017,48.69,4.71089450223,0.033,3.170432
21,50.705,51.347,4.53161993769,0.02,2.9093
22,53.414,54.303,4.51030821147,0.022,4.009664
23,56.886,57.426,5.77368888889,0.042,3.117792
24,59.778,60.268,6.14069387755,0.029,3.00894
25,62.52,63.317,4.85521204517,0.048,3.869604
26,65.906,66.599,4.57873593074,0.026,3.173064
27,68.928,69.617,5.22252539913,0.034,3.59832
28,71.872,72.619,4.44782329317,0.039,3.322524
29,74.575,75.222,6.06888408037,0.049,3.926568
30,77.888,78.335,5.99791498881,0.032,2.681068
31,80.224,80.666,6.48642533937,0.02,2.867
32,82.785,83.736,3.26499263933,0.443,3.105008
33,85.43,86.97,2.49661558442,0.157,3.844788
34,89.936,90.417,5.22061538462,0.025,2.511116
35,92.592,93.27,5.52187610619,0.021,3.743832
36,95.689,96.249,6.05997857143,0.023,3.393588
37,98.602,99.202,6.21653333333,0.022,3.72992
38,101.723,102.254,6.11654990584,0.066,3.247888
39,104.634,105.216,6.81419243986,0.021,3.96586
40,108.211,108.588,7.00337400531,0.023,2.640272
41,110.705,111.255,6.73450181818,0.025,3.703976
42,113.967,114.413,6.16521973094,0.024,2.749688
43,116.545,116.592,3.796,0.023,0.178412
