ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,4.498,4.994,1.22882258065,0.069,0.609496
2,6.915,7.272,1.01109243697,0.099,0.36096
3,8.065,9.861,0.767053452116,0.195,1.377628
4,10.436,11.898,0.95620246238,0.148,1.397968
5,12.139,12.985,1.44511111111,0.119,1.222564
6,13.409,14.046,1.93105808477,0.152,1.230084
7,14.665,15.426,2.00599211564,0.134,1.52656
8,16.179,16.692,1.60148148148,0.153,0.82156
9,17.431,18.534,1.05811786038,0.351,1.167104
10,19.055,19.827,1.90556994819,0.077,1.4711
11,20.409,21.551,1.20257443082,0.12,1.37334
12,21.932,23.035,1.07840072529,0.114,1.189476
13,23.406,24.587,1.21746316681,0.119,1.437824
14,25.181,26.28,1.37672793449,0.13,1.513024
15,26.665,27.11,1.82976629213,0.145,0.814246
16,27.346,28.949,1.64145227698,0.131,2.631248
17,30.096,33.037,0.995230193812,0.044,2.926972
18,33.756,37.939,0.855370786517,0.32,3.578016
19,38.481,41.287,1.40142409123,0.05,3.932396
20,41.828,45.582,0.863327650506,0.07,3.240932
21,45.923,47.597,1.61810274791,0.07,2.708704
22,48.622,50.716,1.08499522445,0.08,2.27198
23,51.217,52.747,2.14651764706,0.041,3.284172
24,53.799,55.721,1.55691779396,0.04,2.992396
25,56.322,58.774,0.955181076672,0.071,2.342104
26,59.115,63.856,0.687760388104,0.08,3.260672
27,64.166,69.442,0.655826383624,0.872,3.46014
28,69.873,74.946,0.7734941849,0.05,3.923936
29,75.407,77.923,1.28992209857,0.06,3.245444
30,78.373,82.644,0.933177241864,0.131,3.9856
31,83.069,84.583,2.19565125495,0.041,3.324216
32,86.267,88.667,1.56596166667,0.05,3.758308
33,89.711,91.347,2.14694621027,0.03,3.512404
34,92.747,95.571,1.11342067989,0.061,3.1443
35,96.104,98.784,1.33080149254,0.08,3.566548
36,99.655,101.109,2.25962035763,0.041,3.285488
37,102.543,103.956,2.63665675867,0.1,3.725596
38,105.732,106.805,2.14754520037,0.05,2.304316
39,107.998,109.177,2.77917896522,0.05,3.276652
40,110.831,112.174,2.3315919583,0.06,3.131328
41,113.411,116.668,1.14445072152,0.06,3.727476
42,117.169,120.681,1.01745899772,0.071,3.573316
43,121.242,124.771,0.948949844148,0.181,3.348844
44,125.272,128.161,0.960042921426,0.08,2.773564
45,128.717,132.056,1.10981371668,0.051,3.705668
46,132.709,135.785,1.16839921977,0.06,3.593996
47,136.236,138.781,1.23947033399,0.09,3.154452
48,139.473,141.73,1.56622241914,0.08,3.534964
49,142.913,144.944,1.62803741999,0.043,3.306544
50,145.634,148.32,1.41356962025,0.05,3.796848
51,149.067,151.119,1.46863547758,0.07,3.01364
52,151.809,154.632,1.30134891959,0.06,3.673708
53,155.092,158.4,1.06946311971,0.07,3.537784
54,159.056,160.819,0.906302892796,0.05,1.597812
55,161.213,163.508,0.724803485839,0.04,1.663424
56,164.007,164.408,0.603381546135,0.06,0.241956
