ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,1.152,1.448,1.23216216216,0.027,0.36472
2,1.495,1.774,1.03231541219,0.015,0.288016
3,1.859,2.175,1.95734177215,0.029,0.61852
4,2.26,2.599,1.78184070796,0.092,0.604044
5,2.692,3.28,5.5712585034,0.033,3.2759
6,6.614,7.423,4.3209789864,0.024,3.495672
7,9.692,10.37,5.35162241888,0.019,3.6284
8,12.746,13.057,8.66190353698,0.019,2.693852
9,14.943,15.731,3.149,0.016,2.481412
10,16.914,17.696,3.04718670077,0.024,2.3829
11,19.512,20.131,4.35133441034,0.039,2.693476
12,22.044,22.82,5.10192268041,0.037,3.959092
13,25.329,26.189,3.53330697674,0.042,3.038644
14,27.842,28.158,9.67069620253,0.02,3.05594
15,30.509,31.191,3.69053372434,0.027,2.516944
16,32.941,33.633,4.96271098266,0.032,3.434196
17,35.889,36.571,4.99385337243,0.022,3.405808
18,39.021,39.594,4.90702966841,0.023,2.811728
19,41.769,42.407,4.81727899687,0.011,3.073424
20,44.137,44.654,4.24218181818,0.032,2.193208
21,45.986,46.557,4.42376182137,0.027,2.525968
22,48.354,48.816,4.67029437229,0.016,2.157676
23,50.349,50.999,5.01410461538,0.029,3.259168
24,53.399,54.114,5.34892867133,0.011,3.824484
25,56.764,57.476,4.82462921348,0.033,3.435136
26,59.68,60.369,5.51830478955,0.03,3.802112
27,63.209,63.622,6.99241646489,0.018,2.887868
28,65.86,66.813,3.65347324239,0.19,3.48176
29,69.015,69.716,4.45460770328,0.045,3.12268
30,71.644,72.426,4.61705882353,0.025,3.61054
31,74.604,75.326,4.49689750693,0.028,3.24676
32,77.48,78.409,3.54124004306,0.027,3.289812
33,80.438,81.1,5.4906223565,0.033,3.634792
34,83.803,84.215,6.91630097087,0.022,2.849516
35,86.383,87.169,4.35102798982,0.09,3.419908
36,88.248,88.6,7.34054545455,0.045,2.583872
37,90.45,91.049,4.81675459098,0.019,2.885236
38,92.786,93.665,3.39469397042,0.043,2.983936
39,96.485,97.352,4.05837139562,0.017,3.518608
40,99.368,99.917,6.1324298725,0.016,3.366704
41,102.478,103.307,4.38704463209,0.031,3.63686
42,105.725,106.037,1.0568974359,0.046,0.329752
