ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,0.882,1.236,1.10835028249,0.077,0.392356
2,1.269,1.766,1.01641046278,0.163,0.505156
3,1.836,2.559,0.632387275242,0.364,0.457216
4,2.657,3.728,0.493609710551,0.695,0.528656
5,3.835,4.224,1.73936246787,0.123,0.676612
6,4.472,6.65,1.22752433425,0.349,2.673548
7,7.402,8.903,1.50262225183,0.437,2.255436
8,9.702,11.085,1.51283586406,0.33,2.092252
9,12.871,14.188,1.61520121488,0.356,2.12722
10,14.385,16.837,1.28180424144,0.586,3.142984
11,17.656,19.132,2.4023495935,0.296,3.545868
12,21.515,22.68,2.48321373391,0.327,2.892944
13,24.624,26.706,1.70084918348,0.427,3.541168
14,27.854,29.916,1.76630649855,0.375,3.642124
15,31.128,33.483,1.63755583864,0.521,3.856444
16,35.799,38.329,1.36868458498,0.277,3.462772
17,39.244,41.51,1.2993239188,0.34,2.944268
18,42.6,43.369,2.87573992198,0.149,2.211444
19,44.565,46.024,1.68529952022,0.352,2.458852
20,46.736,48.765,1.40893445047,0.435,2.858728
21,49.35,51.216,2.08009003215,0.378,3.881448
22,53.085,56.332,1.03570803819,0.606,3.362944
23,57.319,60.744,0.990609051095,1.806,3.392836
24,62.001,64.567,1.53022915043,0.995,3.926568
25,66.12,68.508,1.45629145729,0.628,3.477624
26,69.467,71.614,1.59585468095,0.728,3.4263
27,73.002,75.082,1.71568076923,0.642,3.568616
28,76.584,78.787,1.77179119383,0.514,3.903256
29,80.468,82.802,1.37737789203,0.601,3.2148
30,83.834,86.331,1.59487545054,0.566,3.982404
31,87.436,89.798,1.40801016088,0.515,3.32572
32,90.751,93.063,1.63548615917,0.481,3.781244
33,94.536,97.357,1.19291031549,0.338,3.3652
34,98.828,101.672,1.24388045007,0.328,3.537596
35,102.251,106.209,0.939762506316,0.433,3.71958
36,106.62,109.219,1.38117429781,0.476,3.589672
37,110.286,113.456,1.07735268139,0.331,3.415208
38,114.072,117.967,0.891057252888,0.636,3.470668
39,118.177,124.467,0.62159554849,1.818,3.909836
40,124.854,127.734,1.14516805556,0.232,3.298084
41,128.229,130.946,1.22168862716,0.474,3.319328
42,132.084,135.923,0.952536598072,0.468,3.656788
43,136.732,139.336,1.20618894009,0.523,3.140916
44,140.668,143.544,1.2686077886,0.765,3.648516
45,145.293,147.909,1.39138685015,0.399,3.639868
46,149.122,151.117,1.55469874687,0.349,3.101624
47,152.416,154.347,1.589383739,0.502,3.0691
48,156.019,158.772,0.997431166001,1.104,2.745928
49,159.508,160.446,1.38655010661,0.139,1.300584
50,161.021,161.234,1.42279812207,0.072,0.303056
51,161.685,162.136,0.0316807095344,0.389,0.014288
