ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,0.841,1.216,3.06465066667,0.339,1.149244
2,1.394,1.674,3.26851428571,0.267,0.915184
3,1.86,2.369,1.74518664047,0.495,0.8883
4,3.11,3.492,2.31062827225,0.346,0.88266
5,4.133,4.438,2.88287213115,0.288,0.879276
6,5.13,5.519,2.23570179949,0.371,0.869688
7,6.109,6.479,2.34796756757,0.357,0.868748
8,7.143,8.559,0.631711864407,1.402,0.894504
9,8.78,9.129,2.50594842407,0.335,0.874576
10,9.814,10.119,2.85821639344,0.291,0.871756
11,10.776,11.423,1.34273261206,0.632,0.868748
12,12.059,12.358,2.87092976589,0.285,0.858408
13,13.015,13.447,2.01316666667,0.419,0.869688
14,14.11,14.433,2.7187244582,0.308,0.878148
15,15.093,15.405,2.87905128205,0.299,0.898264
16,21.945,22.231,3.06913286713,0.261,0.877772
17,32.038,32.455,2.08242685851,0.395,0.868372
18,42.009,42.303,3.07194557823,0.281,0.903152
19,52.049,52.345,2.96163513514,0.274,0.876644
20,61.925,62.239,2.75892993631,0.285,0.866304
21,71.973,72.245,3.15038235294,0.26,0.856904
