ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,0.55,0.65,1.7108,0.07,0.17108
2,0.717,0.852,3.03445925926,0.085,0.409652
3,0.902,1.002,4.32588,0.08,0.432588
4,1.192,1.283,6.93740659341,0.04,0.631304
5,1.626,1.748,4.75701639344,0.1,0.580356
6,2.218,2.288,7.21382857143,0.03,0.504968
7,2.458,2.675,11.1266543779,0.07,2.414484
8,4.94,5.221,10.6283558719,0.112,2.986568
9,7.292,7.584,13.6911643836,0.02,3.99782
10,10.516,10.708,14.0490833333,0.03,2.697424
11,12.808,13.02,15.4461509434,0.04,3.274584
12,15.301,15.557,13.646890625,0.06,3.493604
13,18.295,18.538,15.1088559671,0.05,3.671452
14,21.311,21.683,9.85332258065,0.18,3.665436
15,24.375,24.577,12.0655049505,0.07,2.437232
16,27.417,27.617,10.77522,0.05,2.155044
17,28.731,28.987,8.47321875,0.236,2.169144
18,30.616,30.777,16.347826087,0.128,2.632
19,32.859,33.175,10.3162025316,0.144,3.25992
20,35.625,35.999,9.27885561497,0.347,3.470292
21,39.016,39.631,5.80629593496,0.591,3.570872
22,42.071,42.404,10.7430990991,0.203,3.577452
23,44.929,45.306,9.74807427056,0.284,3.675024
24,47.942,48.537,5.84158655462,0.151,3.475744
25,51.132,51.375,15.3285761317,0.213,3.724844
26,53.954,54.42,6.36739055794,0.041,2.967204
27,56.444,57.066,5.58347909968,0.289,3.472924
28,59.591,60.027,7.65410091743,0.139,3.337188
29,62.485,63.004,7.27404238921,0.289,3.775228
30,66.118,66.522,9.02213861386,0.211,3.644944
31,68.935,69.259,11.0769135802,0.285,3.58892
32,72.05,72.403,8.98405665722,0.109,3.171372
33,74.833,75.291,8.13982532751,0.112,3.72804
34,78.226,78.508,12.866,0.16,3.628212
35,81.238,81.838,5.65096666667,0.174,3.39058
36,84.018,84.603,6.24095726496,0.289,3.65096
37,87.164,87.704,6.96261481481,0.177,3.759812
38,90.924,91.484,6.70085714286,0.137,3.75248
39,94.5,94.741,13.6038672199,0.208,3.278532
40,97.331,97.753,9.12557345972,0.116,3.850992
41,100.721,101.143,7.80823696682,0.236,3.295076
42,103.426,103.964,4.79924163569,0.266,2.581992
43,105.76,106.476,5.49453631285,0.277,3.934088
44,109.498,109.909,6.72363017032,0.238,2.763412
45,112.26,113.164,4.11728318584,0.152,3.722024
46,115.271,115.694,5.70133333333,0.136,2.411664
47,117.602,117.961,5.2137270195,0.346,1.871728
48,119.438,119.973,6.01494579439,0.22,3.217996
49,122.428,122.733,7.20009180328,0.127,2.196028
50,124.529,124.85,5.59607476636,0.189,1.79634
51,126.239,126.503,9.11871212121,0.24,2.40734
52,128.471,128.639,14.9247380952,0.145,2.507356
53,131.988,132.3,8.64980769231,0.28,2.69874
54,138.749,139.053,11.1117894737,0.123,3.377984
55,144.389,145.316,3.60363754045,0.634,3.340572
56,148.719,149.327,2.931625,0.184,1.782428
