ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,0.736,1.177,0.817650793651,0.12,0.360584
2,1.238,1.48,1.65238016529,0.109,0.399876
3,1.537,1.824,1.13717073171,0.166,0.326368
4,1.935,2.257,1.31191304348,0.14,0.422436
5,2.437,2.827,1.33383589744,0.18,0.520196
6,3.067,4.539,0.191010869565,0.17,0.281168
7,4.859,6.95,1.692,0.15,3.537972
8,8.07,9.834,2.30577097506,0.14,4.06738
9,11.886,13.307,2.0572836031,0.221,2.9234
10,14.467,15.576,2.87899368801,0.17,3.192804
11,17.219,18.573,2.48898670606,0.17,3.370088
12,20.064,21.7,2.24255501222,0.202,3.66882
13,23.263,24.473,2.3868231405,0.21,2.888056
14,26.029,27.299,2.55073070866,0.152,3.239428
15,29.238,30.582,2.29013095238,0.142,3.077936
16,32.036,39.822,0.437861803237,0.394,3.409192
17,39.944,42.92,1.23975134409,0.216,3.6895
18,43.303,45.353,1.69649365854,0.17,3.477812
19,46.489,48.243,2.09125883694,0.212,3.668068
20,49.555,51.035,2.28724864865,0.141,3.385128
21,52.48,53.99,2.12838410596,0.269,3.21386
22,55.318,56.78,1.84000820793,0.192,2.690092
23,57.793,59.146,1.75466666667,0.183,2.374064
24,59.821,60.927,1.9153562387,0.204,2.118384
25,61.97,63.364,2.14069153515,0.165,2.984124
26,64.647,66.302,2.06879516616,0.245,3.423856
27,67.678,69.45,2.18215801354,0.152,3.866784
28,70.958,72.87,1.79819246862,0.137,3.438144
29,74.182,76.039,1.89285729672,0.147,3.515036
30,77.385,79.003,2.27714709518,0.128,3.684424
31,80.781,82.508,1.46023856398,0.17,2.521832
32,83.176,84.652,2.18543631436,0.193,3.225704
33,86.493,88.256,2.01841406693,0.199,3.558464
34,90.128,91.52,2.07110632184,0.18,2.88298
35,93.095,94.514,2.0497167019,0.242,2.908548
36,95.716,97.226,1.98234172185,0.152,2.993336
37,98.449,100.398,1.58020318112,0.201,3.079816
38,101.582,103.61,1.69941617357,0.222,3.446416
39,104.86,106.564,2.06502112676,0.239,3.518796
40,108.286,110.49,1.15631941924,0.16,2.548528
41,110.594,113.365,0.588899314327,0.174,1.63184
42,113.455,114.983,2.10023560209,0.17,3.20916
43,116.571,118.381,1.9865679558,0.28,3.595688
44,119.813,121.039,1.71193474715,0.13,2.098832
45,121.751,123.031,1.927734375,0.2,2.4675
46,123.952,125.101,2.02889469104,0.2,2.3312
47,126.154,127.796,2.03113276492,0.17,3.33512
48,129.441,130.191,0.617344,0.41,0.463008
