ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,0.859,1.421,0.561992882562,0.062,0.31584
2,1.44,2.024,0.963821917808,0.061,0.562872
3,2.074,2.3,1.06784513274,0.072,0.241333
4,2.69,4.131,0.625970853574,0.225,0.902024
5,4.779,7.331,0.687688087774,0.672,1.75498
6,7.39,10.039,0.57336806342,0.374,1.518852
7,10.376,12.337,0.892257011729,0.368,1.749716
8,12.589,14.226,1.20942455712,0.219,1.979828
9,14.623,15.565,2.45318046709,0.098,2.310896
10,16.908,17.651,3.10136742934,0.078,2.304316
11,18.907,19.621,3.37136134454,0.054,2.407152
12,20.942,21.987,3.19707942584,0.069,3.340948
13,23.649,24.341,3.21936416185,0.062,2.2278
14,25.391,26.31,3.12705984766,0.096,2.873768
15,27.623,28.461,3.07261097852,0.113,2.574848
16,29.965,31.224,2.45833518666,0.077,3.095044
17,32.555,33.758,2.99018453865,0.076,3.597192
18,35.472,36.748,2.91458934169,0.18,3.719016
19,38.475,39.768,2.55784686775,0.09,3.307296
20,41.434,42.546,2.95694244604,0.084,3.28812
21,44.246,45.467,2.86542178542,0.073,3.49868
22,47.304,48.312,2.90691269841,0.073,2.930168
23,49.789,51.103,2.45616133942,0.092,3.227396
24,52.545,53.322,2.87952123552,0.096,2.237388
25,54.539,55.833,3.12495517774,0.102,4.043692
26,57.785,58.882,1.96106107566,0.105,2.151284
27,59.783,61.348,1.82678338658,0.091,2.858916
28,62.297,64.205,2.03558280922,0.093,3.883892
29,65.731,67.116,2.40178483755,0.112,3.326472
30,68.451,71.39,1.30518952024,0.086,3.835952
31,72.18,73.105,2.9417427027,0.075,2.721112
32,74.652,77.025,1.41994268858,0.105,3.369524
33,77.522,79.3,1.99197525309,0.104,3.541732
34,80.327,82.195,1.78318201285,0.092,3.330984
35,82.839,84.088,2.12083266613,0.1,2.64892
36,85.318,86.819,1.82338707528,0.051,2.736904
37,87.635,89.504,1.94035313002,0.056,3.62652
38,90.56,92.399,2.04469168026,0.116,3.760188
39,93.929,95.213,2.63141433022,0.136,3.378736
40,96.753,98.054,2.73401998463,0.082,3.55696
41,99.708,100.998,2.6687255814,0.067,3.442656
42,102.403,105.783,1.01664615385,0.27,3.436264
43,106.101,108.838,1.37019510413,0.117,3.750224
44,109.95,110.055,1.28778095238,0.06,0.135217
