ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,1.015,1.448,0.869662817552,0.118,0.376564
2,1.491,2.356,0.663759537572,0.227,0.574152
3,2.417,5.421,0.197137150466,0.581,0.5922
4,5.515,6.867,0.3525,0.286,0.47658
5,6.917,7.699,0.245778772379,0.431,0.192199
6,7.958,9.987,0.420011828487,0.12,0.852204
7,10.117,11.378,0.751254559873,0.115,0.947332
8,11.467,12.581,0.833005385996,0.166,0.927968
9,12.658,12.937,0.794483870968,0.154,0.221661
10,14.1,18.054,0.828027314112,0.13,3.27402
11,18.184,22.006,0.840392464678,0.153,3.21198
12,22.109,24.445,1.3002260274,0.122,3.037328
13,24.859,27.937,0.931326835608,0.153,2.866624
14,28.018,30.765,1.20232398981,0.219,3.302784
15,31.402,36.581,0.594492373045,0.294,3.078876
16,36.669,41.35,0.55034479812,0.202,2.576164
17,41.436,50.054,0.390026920399,0.169,3.361252
18,50.321,53.808,0.648969314597,0.527,2.262956
19,53.872,57.524,0.6283483023,0.492,2.294728
20,57.638,61.874,0.562491029273,0.522,2.382712
21,62.01,62.868,0.0662342657343,0.669,0.056829
