ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,0.525,0.768,2.30628806584,0.225,0.560428
2,2.984,3.089,3.09931428571,0.096,0.325428
3,3.537,3.623,3.93488372093,0.076,0.3384
4,3.957,4.048,4.19178021978,0.08,0.381452
5,4.797,5.258,5.34637744035,0.086,2.46468
6,7.098,7.531,5.8471039261,0.065,2.531796
7,9.567,9.982,5.38314216867,0.12,2.234004
8,11.618,12.014,4.66012121212,0.351,1.845408
9,13.464,13.965,3.73298203593,0.457,1.870224
10,15.407,15.895,3.83859016393,0.451,1.873232
11,17.352,17.781,3.93485314685,0.394,1.688052
12,19.227,19.636,5.13575550122,0.103,2.100524
13,21.28,21.733,5.36069757174,0.087,2.428396
14,23.436,24.001,4.91495221239,0.076,2.776948
15,26.149,26.648,5.49645691383,0.119,2.742732
16,28.842,29.461,4.89589660743,0.079,3.03056
17,31.308,31.665,6.30352941176,0.058,2.25036
18,33.282,33.825,5.45684714549,0.133,2.963068
19,35.814,36.379,5.21608495575,0.017,2.947088
20,38.321,38.779,5.87972052402,0.026,2.692912
21,40.645,41.033,6.54705154639,0.02,2.540256
22,42.836,43.296,6.32333913043,0.018,2.908736
23,45.434,45.843,5.64413691932,0.02,2.308452
24,47.762,48.161,6.10363909774,0.017,2.435352
25,49.84,50.36,6.4437,0.025,3.350724
26,52.625,52.948,6.76334365325,0.022,2.18456
27,54.578,55.103,5.45558095238,0.028,2.86418
28,57.194,57.579,6.78606753247,0.016,2.612636
29,59.386,59.833,6.22797315436,0.017,2.783904
30,61.784,62.254,6.0108,0.017,2.825076
31,63.957,64.445,6.42821311475,0.016,3.136968
32,66.755,67.233,6.16270292887,0.022,2.945772
33,69.582,70.036,5.27393832599,0.022,2.394368
34,71.777,72.251,6.11634599156,0.03,2.899148
35,74.359,75.267,3.15210572687,0.033,2.862112
36,76.715,77.115,6.91934,0.016,2.767736
37,79.157,79.849,3.64290751445,0.326,2.520892
38,81.519,81.896,5.92673740053,0.036,2.23438
39,83.696,84.232,6.03002985075,0.041,3.232096
40,86.288,86.675,6.48624289406,0.031,2.510176
41,88.65,89.078,5.90399065421,0.021,2.526908
42,90.829,91.274,6.85418426966,0.023,3.050112
43,93.49,93.803,6.94458785942,0.027,2.173656
44,97.255,97.763,5.3598503937,0.024,2.722804
45,102.086,102.465,7.44956200528,0.017,2.823384
46,106.884,107.274,7.49782564103,0.016,2.924152
47,112.156,112.782,4.71771884984,0.039,2.953292
48,117.193,117.648,5.95608791209,0.026,2.71002
49,121.636,122.231,5.30096806723,0.027,3.154076
50,126.728,127.192,6.29597413793,0.022,2.921332
51,132.011,132.562,5.53320508167,0.023,3.048796
