ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,2.014,4.264,0.357617777778,0.304,0.80464
2,5.076,6.044,0.485925619835,0.125,0.470376
3,6.263,7.231,0.606338842975,0.062,0.586936
4,7.59,8.556,0.600587991718,0.062,0.580168
5,8.931,9.853,0.655553145336,0.391,0.60442
6,10.243,11.227,0.518146341463,0.062,0.509856
7,11.555,12.835,0.381434375,0.093,0.488236
8,13.085,14.881,0.290269487751,0.125,0.521324
9,15.115,17.301,0.269615736505,0.422,0.58938
10,17.535,19.128,0.34661393597,0.063,0.552156
11,19.394,19.964,0.457849122807,0.093,0.260974
12,20.401,24.989,0.241940278989,0.34,1.110022
13,25.566,33.064,0.205877300613,0.313,1.543668
14,33.329,35.11,0.109850084222,0.766,0.195643
15,35.297,39.544,0.175295502708,0.312,0.74448
16,39.825,43.2,0.220920888889,0.438,0.745608
17,43.45,47.418,0.221828629032,0.624,0.880216
18,47.824,50.247,0.269439125052,0.343,0.652851
19,50.45,58.919,0.187267445979,0.36,1.585968
20,59.169,67.183,0.174487646618,0.359,1.398344
21,67.48,76.259,0.164786422144,0.953,1.44666
22,76.353,81.134,0.123786655511,1.125,0.591824
23,81.4,86.211,0.0949754728747,1.14,0.456927
