ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,0.319,0.452,3.93810526316,0.111,0.523768
2,0.55,0.705,4.24273548387,0.136,0.657624
3,0.799,0.987,3.71,0.159,0.69748
4,1.967,3.647,1.94893333333,0.04,3.274208
5,4.614,5.678,3.36297368421,0.048,3.578204
6,7.954,8.506,6.84701449275,0.025,3.779552
7,11.209,11.601,8.50412244898,0.025,3.333616
8,14.052,14.639,4.85853492334,0.05,2.85196
9,16.939,17.908,4.06072239422,0.019,3.93484
10,19.933,20.519,5.46290784983,0.042,3.201264
11,22.751,23.29,5.81125788497,0.03,3.132268
12,25.367,25.863,6.86768548387,0.015,3.406372
13,28.821,29.379,6.64906810036,0.028,3.71018
14,32.06,32.639,5.81338860104,0.038,3.365952
15,34.9,35.672,4.71241968912,0.038,3.637988
16,37.989,38.37,6.52670866142,0.027,2.486676
17,39.989,40.711,4.37373407202,0.027,3.157836
18,42.782,43.564,4.94016879795,0.022,3.863212
19,45.811,46.281,6.7156,0.032,3.156332
20,48.53,49.417,4.15465163472,0.096,3.685176
21,51.574,52.483,3.0044840484,0.016,2.731076
22,53.959,54.559,6.07365333333,0.028,3.644192
23,57.425,57.94,6.79866407767,0.023,3.501312
24,60.6,61.085,7.60566597938,0.013,3.688748
25,63.588,64.309,5.18238557559,0.02,3.7365
26,66.892,67.495,5.7615920398,0.013,3.47424
27,69.887,70.404,6.24909090909,0.019,3.23078
28,72.84,73.466,5.72348881789,0.025,3.582904
29,75.856,76.286,6.02080930233,0.05,2.588948
30,78.028,78.578,5.87961454545,0.021,3.233788
31,80.802,81.26,4.20906550218,0.414,1.927752
32,82.815,83.212,5.90992443325,0.022,2.34624
33,84.795,85.316,4.44885220729,0.02,2.317852
34,87.101,87.556,6.14698021978,0.028,2.796876
35,89.393,89.878,5.94583917526,0.025,2.883732
36,91.966,92.448,6.72080497925,0.027,3.239428
37,94.59,95.647,3.77547398297,0.027,3.990676
38,97.983,98.511,6.61062121212,0.033,3.490408
39,101.123,101.598,6.02035368421,0.022,2.859668
40,103.553,104.156,5.62066998342,0.024,3.389264
41,106.676,107.278,6.07783388704,0.025,3.658856
42,109.769,110.343,5.55484320557,0.031,3.18848
43,112.81,113.255,5.3810247191,0.029,2.394556
44,114.892,115.203,7.54841157556,0.023,2.347556
45,116.934,117.002,4.14705882353,0.061,0.282
46,117.602,117.648,2.89356521739,0.043,0.133104
47,118.103,118.138,2.17005714286,0.033,0.075952
