ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,0.747,0.933,1.76578494624,0.042,0.328436
2,1.032,1.135,5.88640776699,0.05,0.6063
3,1.319,1.403,7.01195238095,0.03,0.589004
4,1.539,1.621,7.44434146341,0.046,0.610436
5,1.988,2.074,6.98441860465,0.068,0.60066
6,2.572,2.94,7.29981521739,0.08,2.686332
7,4.986,7.667,1.10787467363,0.089,2.970212
8,8.104,8.946,3.35921615202,0.108,2.82846
9,10.496,11.734,1.98842649435,0.614,2.461672
10,13.087,14.203,2.82606451613,0.069,3.153888
11,15.723,16.454,4.08044870041,0.043,2.982808
12,18.125,18.774,4.49722650231,0.129,2.9187
13,20.662,20.888,13.3064070796,0.053,3.007248
14,23.042,23.312,13.6766518519,0.073,3.692696
15,26.375,26.65,12.5584,0.087,3.45356
16,28.985,30.451,1.94014461119,0.467,2.844252
17,31.725,31.961,16.1010847458,0.033,3.799856
18,35.019,35.286,11.5186966292,0.079,3.075492
19,37.491,37.665,11.3858850575,0.044,1.981144
20,39.186,40.358,2.31422866894,0.107,2.712276
21,41.456,41.751,13.174020339,0.055,3.886336
22,44.409,44.686,13.5203898917,0.062,3.745148
23,47.726,47.974,13.8839516129,0.052,3.44322
24,50.417,51.313,3.93394196429,0.08,3.524812
25,53.206,53.726,5.57130769231,0.084,2.89708
26,55.617,56.242,5.8692096,0.128,3.668256
27,58.471,59.234,4.70640629096,0.068,3.590988
28,61.533,62.207,5.72395845697,0.071,3.857948
29,64.302,64.599,11.3027878788,0.07,3.356928
30,67.051,68.087,2.86337065637,0.099,2.966452
31,69.638,69.889,11.6297848606,0.055,2.919076
32,71.85,72.511,3.93036611195,0.127,2.597972
