ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,1.24,2.787,0.757225597931,0.337,1.171428
2,2.864,4.257,0.737216080402,0.348,1.026942
3,4.612,5.892,1.43026875,0.297,1.830744
4,6.512,8.347,0.305441961853,0.305,0.560486
5,8.599,8.649,36.61488,0.02,1.830744
6,9.032,13.927,0.0523681307457,0.407,0.256342
7,13.934,19.861,0.211408807154,0.388,1.25302
8,19.931,21.786,0.655010242588,0.488,1.215044
9,21.864,23.499,0.760508868502,0.27,1.243432
10,23.561,25.379,0.655828382838,0.23,1.192296
11,25.496,28.151,0.450137853107,0.308,1.195116
12,29.411,33.776,0.158989690722,0.195,0.69399
13,33.821,39.956,0.266846617767,0.33,1.637104
14,40.309,44.939,0.354073434125,0.282,1.63936
15,45.351,51.281,0.306316357504,0.293,1.816456
16,51.699,53.904,0.551777777778,0.177,1.21667
17,54.381,59.029,0.90209595525,0.208,4.192942
18,59.446,68.226,0.810241457859,0.03,7.11392
19,68.639,77.241,0.811096954197,0.617,6.977056
20,77.486,83.429,0.507634528016,0.03,3.016872
