ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,4.541,5.705,1.06032646048,0.262,1.23422
2,8.533,9.57,1.16842815815,0.233,1.21166
3,10.74,12.117,1.44319970951,0.227,1.987286
4,12.663,14.185,0.475787779238,0.264,0.724149
5,14.858,17.344,1.33430088496,0.232,3.317072
6,18.002,22.102,0.825136585366,0.24,3.38306
7,22.553,26.693,0.79990821256,0.386,3.31162
8,27.31,29.398,1.15393438697,0.386,2.409415
9,30.039,33.379,2.05589820359,0.25,6.8667
10,36.844,47.715,0.559296108914,0.269,6.080108
11,48.606,49.589,0.782377416073,0.187,0.769077
12,49.605,52.865,1.03734478528,0.312,3.381744
13,53.924,55.897,1.67637303599,0.168,3.307484
14,57.146,64.119,0.484599455041,0.275,3.379112
15,65.084,68.155,2.12836079453,0.601,6.536196
16,71.455,74.324,2.04480306727,0.272,5.86654
17,77.091,79.896,2.26136185383,0.231,6.34312
18,82.036,85.641,1.74503633842,0.516,6.290856
19,88.024,93.443,1.19502638863,0.253,6.475848
20,94.495,100.027,1.18876373825,0.36,6.576241
