ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,4.485,6.11,0.760561230769,0.265,1.235912
2,8.469,10.172,0.766461538462,0.219,1.305284
3,10.485,11.251,0.291422976501,0.172,0.22323
4,11.907,14.063,0.829606679035,0.203,1.788632
5,14.547,15.688,1.65327957932,0.282,1.886392
6,16.516,18.485,0.921762315896,0.203,1.81495
7,19.141,28.579,0.517355159992,0.203,4.882798
8,29.141,31.579,1.43868580804,0.203,3.507516
9,32.891,35.672,1.20749946063,0.25,3.358056
10,36.407,39.219,1.2663257468,0.281,3.560908
11,40.157,42.626,1.32125394897,0.312,3.262176
12,42.735,43.751,3.0826476378,0.219,3.13197
13,43.954,46.672,2.14277115526,0.203,5.824052
14,49.172,50.86,3.4412464455,0.282,5.808824
15,54.016,56.282,2.71986054722,0.297,6.163204
16,59.422,62.657,1.78893477589,0.313,5.787204
17,64.844,67.782,2.05673791695,0.297,6.042696
18,70.297,73.204,1.99155830753,0.188,5.78946
19,75.594,78.594,1.99004266667,0.203,5.970128
20,81.001,83.907,2.04995044735,0.187,5.957156
21,86.704,89.813,1.78022515278,0.672,5.53472
22,92.188,95.016,2.0969844413,0.36,5.930272
23,97.516,100.829,1.7645783278,0.25,5.846048
24,103.126,105.688,1.55441217799,0.218,3.982404
