ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,0.785,1.122,1.27137091988,0.245,0.428452
2,1.158,1.424,1.21210526316,0.209,0.32242
3,1.508,1.918,1.17477073171,0.358,0.481656
4,2.046,2.696,0.970947692308,0.522,0.631116
5,2.88,5.573,1.29561529892,1.446,3.489092
6,6.691,8.048,1.79576713338,1.058,2.436856
7,9.798,11.637,1.93878194671,1.503,3.56542
8,14.111,16.882,1.31491447131,2.274,3.643628
9,19.542,21.394,1.90619006479,1.523,3.530264
10,23.975,25.564,1.95406419132,1.289,3.105008
11,27.837,29.719,1.84773432519,1.5,3.477436
12,31.923,33.666,1.80083075158,1.443,3.138848
13,37.171,39.075,1.81996638655,1.614,3.465216
14,41.296,42.887,1.96413324953,1.321,3.124936
15,45.46,47.064,1.86687281796,1.335,2.994464
16,49.33,50.604,1.92515541601,1.066,2.452648
17,52.376,54.433,1.84161400097,1.692,3.7882
18,57.311,59.153,1.89908577633,1.547,3.498116
19,61.561,63.404,1.93477807922,1.548,3.565796
