ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,1.18,1.347,4.25645508982,0.11,0.710828
2,1.421,1.539,4.55661016949,0.018,0.53768
3,1.64,2.044,1.42163366337,0.155,0.57434
4,2.318,2.603,1.93475087719,0.259,0.551404
5,2.906,3.007,5.72562376238,0.062,0.578288
6,3.584,3.666,6.75653658537,0.02,0.554036
7,4.126,4.225,5.85838383838,0.027,0.57998
8,4.614,4.709,5.82206315789,0.082,0.553096
9,5.134,5.197,9.20901587302,0.034,0.580168
10,5.766,5.861,5.83591578947,0.053,0.554412
11,6.288,6.476,3.088,0.158,0.580544
12,7.035,7.526,1.12953156823,0.468,0.5546
13,8.666,8.893,2.55663436123,0.133,0.580356
14,9.275,9.41,4.0984,0.12,0.553284
15,11.698,11.995,1.95469360269,0.146,0.580544
16,21.818,21.961,3.86911888112,0.137,0.553284
17,31.591,31.974,1.51430809399,0.165,0.57998
18,41.657,41.885,2.42998245614,0.084,0.554036
19,51.627,51.768,3.21733333333,0.088,0.453644
