ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,2.449,3.872,0.493582572031,1.074,0.702368
2,3.957,7.144,0.174609350486,1.514,0.55648
3,7.878,8.801,0.606977248104,0.234,0.56024
4,9.034,10.719,0.321664094955,1.57,0.542004
5,11.325,12.335,0.553948514851,0.217,0.559488
6,12.645,13.507,0.631610208817,0.208,0.544448
7,13.716,14.134,1.33983732057,0.214,0.560052
8,15.69,16.053,1.58686501377,0.324,0.576032
9,16.822,18.239,0.367906845448,0.717,0.521324
10,18.829,20.322,0.358496985934,1.203,0.535236
11,20.708,21.07,1.54502762431,0.313,0.5593
12,21.795,22.098,1.89985478548,0.288,0.575656
13,22.609,22.833,2.32566071429,0.101,0.520948
14,23.204,23.589,1.38827012987,0.368,0.534484
15,24.066,24.5,1.2882764977,0.236,0.559112
16,32.628,37.669,0.114194802619,0.921,0.575656
17,45.308,47.53,0.234196219622,0.516,0.520384
18,56.31,57.178,0.616631336406,0.572,0.535236
19,69.464,70.093,0.889786963434,0.438,0.559676
20,82.742,83.164,1.36455924171,0.201,0.575844
21,94.039,94.932,0.583578947368,0.263,0.521136
22,107.457,107.937,1.11546666667,0.178,0.535424
23,121.685,122.027,0.959789473684,0.322,0.328248
