ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,0.87,1.13,1.41072307692,0.21,0.366788
2,1.22,1.4,1.92804444444,0.16,0.347048
3,1.47,1.68,2.43146666667,0.13,0.510608
4,1.88,2.03,2.00784,0.12,0.301176
5,2.47,2.98,4.49098823529,0.13,2.290404
6,4.57,7.26,1.21647881041,0.11,3.272328
7,7.66,8.72,3.55834339623,0.13,3.771844
8,11.02,11.59,6.02160701754,0.11,3.432316
9,14.27,15.13,2.92186976744,0.16,2.512808
10,16.62,17.42,3.46766,0.13,2.774128
11,18.84,27.14,0.425695421687,0.11,3.533272
12,27.38,28.06,4.79178823529,0.12,3.258416
13,30.22,30.8,5.06724827586,0.12,2.939004
14,32.81,33.71,3.95217777778,0.45,3.55696
15,36.29,36.72,6.25209302326,0.13,2.6884
16,38.37,39.0,5.41589206349,0.14,3.412012
17,41.22,41.74,7.51349230769,0.12,3.907016
18,44.47,44.85,6.95055789474,0.13,2.641212
19,46.98,47.62,5.99044375,0.1,3.833884
20,50.379,50.769,6.76173333333,0.11,2.637076
21,52.619,53.509,4.06903820225,0.13,3.621444
22,55.979,56.649,5.81649552239,0.11,3.897052
23,59.569,60.059,4.59832653061,0.12,2.25318
24,61.719,62.239,7.15882307692,0.12,3.722588
25,64.989,65.759,4.91705454545,0.14,3.786132
26,68.319,68.859,4.26168148148,0.12,2.301308
27,70.239,71.079,4.41374761905,0.15,3.707548
28,73.339,73.969,4.72148571429,0.11,2.974536
29,75.869,76.379,7.07654117647,0.13,3.609036
30,78.779,79.389,6.10352786885,0.14,3.723152
31,81.769,82.289,6.91261538462,0.12,3.59456
32,84.739,85.489,4.42752533333,0.13,3.320644
33,87.546,88.219,4.19522139673,0.098,2.823384
34,89.919,90.489,4.45032280702,0.1,2.536684
35,92.129,92.819,5.44764057971,0.12,3.758872
36,95.441,96.136,5.15715107914,0.15,3.58422
37,98.756,99.366,5.26338360656,0.11,3.210664
38,101.466,102.263,4.07231116688,0.13,3.245632
39,104.223,104.903,4.8974,0.11,3.330232
40,106.896,109.671,0.957817657658,0.435,2.657944
41,110.431,111.281,3.06484235294,0.15,2.605116
42,112.816,112.986,0.734305882353,0.12,0.124832
