ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,15.507,16.465,0.75356993737,0.933,0.72192
2,16.677,18.37,0.474386296515,1.259,0.803136
3,18.454,19.419,0.818238341969,0.716,0.7896
4,19.87,20.866,0.77597188755,0.952,0.772868
5,21.495,22.413,0.81917211329,0.416,0.752
6,22.732,23.857,0.710055111111,0.253,0.798812
7,24.41,25.664,0.602829346093,1.252,0.755948
8,26.008,27.94,0.392542443064,0.444,0.758392
9,28.442,29.775,0.581629407352,0.84,0.775312
10,30.11,31.014,0.0665309734513,0.755,0.060144
11,31.265,34.557,2.05920534629,0.214,6.778904
12,37.457,48.216,0.684079561298,1.381,7.360012
13,48.421,58.043,0.712317189773,1.091,6.853916
14,58.261,68.196,0.734250226472,1.289,7.294776
15,68.583,76.884,0.894658956752,2.701,7.426564
16,78.647,87.248,0.803366120219,2.894,6.909752
17,88.509,92.138,1.99604298705,0.343,7.24364
18,95.137,99.092,1.87272718078,0.83,7.406636
19,101.992,105.772,1.78401058201,0.129,6.74356
20,108.302,115.154,1.07232983071,1.103,7.347604
21,115.563,125.575,0.715102277267,1.097,7.159604
22,126.24,137.416,0.631993557623,3.133,7.06316
23,138.11,146.944,0.798670138103,1.726,7.055452
24,147.941,154.796,1.02995477753,1.414,7.06034
25,155.923,160.444,0.538509179385,0.713,2.4346
