ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,0.288,0.378,3.83937777778,0.01,0.345544
2,0.468,0.538,7.17354285714,0.02,0.502148
3,0.588,0.688,4.74324,0.03,0.474324
4,0.828,0.918,6.74293333333,0.04,0.606864
5,1.258,1.648,8.42191794872,0.01,3.284548
6,3.938,4.218,8.57078571429,0.04,2.39982
7,6.008,6.378,9.40914594595,0.01,3.481384
8,9.108,9.578,6.7036,0.04,3.150692
9,11.978,13.038,3.09206792453,0.05,3.277592
10,14.808,15.688,3.82601363636,0.04,3.366892
11,17.508,18.028,6.21267692308,0.01,3.230592
12,20.078,20.528,7.73264888889,0.02,3.479692
13,22.838,23.318,8.129825,0.01,3.902316
14,25.987,26.377,8.71934358974,0.03,3.400544
15,28.757,29.627,3.74703448276,0.01,3.25992
16,31.337,31.897,5.30126428571,0.08,2.968708
17,33.637,34.137,7.167312,0.05,3.583656
18,36.527,36.917,9.42603076923,0.03,3.676152
19,39.337,39.747,8.53795121951,0.02,3.50056
20,42.127,42.427,8.00566666667,0.01,2.4017
21,44.187,44.757,5.42429473684,0.01,3.091848
22,46.757,47.197,7.77892727273,0.01,3.422728
23,49.657,50.137,5.29533333333,0.03,2.54176
24,51.827,52.317,8.09589387755,0.03,3.966988
25,55.077,56.027,2.63180210526,0.04,2.500212
26,57.157,58.297,3.17307719298,0.04,3.617308
27,60.307,60.867,6.00257142857,0.05,3.36144
28,63.077,63.457,6.89910526316,0.04,2.62166
29,65.207,65.877,5.55385671642,0.01,3.721084
30,68.077,68.797,4.61670555556,0.04,3.324028
31,70.857,71.447,3.01321525424,0.03,1.777797
