ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,1.667,1.84,3.22316763006,0.023,0.557608
2,3.002,3.15,3.83367567568,0.044,0.567384
3,4.169,4.214,1.79075555556,0.022,0.080584
4,4.58,4.974,5.60946192893,0.121,2.210128
5,5.763,6.045,9.68866666667,0.031,2.732204
6,7.484,7.93,7.22577578475,0.029,3.222696
7,10.353,10.773,8.68783809524,0.03,3.648892
8,13.384,13.693,8.43748867314,0.051,2.607184
9,15.903,16.143,9.03105,0.032,2.167452
10,18.226,18.564,9.23869822485,0.03,3.12268
11,20.97,21.364,9.07791878173,0.053,3.5767
12,24.033,24.533,6.416816,0.053,3.208408
13,26.792,27.137,8.29924637681,0.027,2.86324
14,29.447,29.873,6.55661032864,0.041,2.793116
15,32.11,32.638,7.31134848485,0.031,3.860392
16,35.795,36.17,7.43527466667,0.031,2.788228
17,38.46,38.931,7.48607218684,0.038,3.52594
18,41.395,41.959,5.38866666667,0.068,3.039208
19,44.055,44.504,7.74024053452,0.062,3.475368
20,47.165,48.037,3.41935779817,0.057,2.98168
21,49.96,50.531,5.38713835377,0.04,3.076056
22,52.726,58.997,0.543434221017,0.092,3.407876
23,59.349,65.475,0.564951354881,0.237,3.460892
24,66.154,66.672,6.4928957529,0.04,3.36332
25,69.163,69.798,5.03751181102,0.038,3.19882
26,70.598,70.986,7.62805154639,0.059,2.959684
27,73.563,74.086,5.24243212237,0.028,2.741792
28,76.671,77.171,6.335224,0.041,3.167612
29,79.672,80.15,7.41734728033,0.046,3.545492
30,82.681,83.16,5.49870563674,0.069,2.63388
31,84.87,85.318,7.74996428571,0.072,3.471984
32,87.776,88.058,8.57333333333,0.022,2.41768
33,90.229,90.662,8.76045265589,0.021,3.793276
34,93.396,93.698,9.73927152318,0.028,2.94126
35,96.686,97.084,9.35701507538,0.03,3.724092
36,99.698,100.097,7.18122305764,0.048,2.865308
37,102.131,102.552,6.2383847981,0.027,2.62636
38,104.429,104.79,7.17108033241,0.026,2.58876
39,106.684,107.126,7.62250678733,0.045,3.369148
40,109.516,109.912,7.37472727273,0.046,2.920392
41,112.066,112.342,8.50904347826,0.031,2.348496
42,114.301,114.597,9.47177027027,0.028,2.803644
43,116.97,117.335,9.26865753425,0.024,3.38306
44,119.754,120.089,9.93650149254,0.037,3.328728
45,122.753,123.286,5.67280300188,0.056,3.023604
46,125.28,125.723,7.61081715576,0.032,3.371592
47,128.259,128.675,7.608125,0.029,3.16498
48,131.081,131.537,8.26540350877,0.045,3.769024
49,134.469,134.914,6.81362696629,0.038,3.032064
50,136.974,137.433,7.04037472767,0.03,3.231532
51,139.815,140.262,7.9649753915,0.052,3.560344
52,142.62,142.832,7.87737735849,0.058,1.670004
53,144.295,144.652,7.31778151261,0.029,2.612448
54,146.585,146.979,8.18468020305,0.029,3.224764
55,149.118,149.558,7.25979090909,0.051,3.194308
56,153.29,153.714,9.20756603774,0.043,3.904008
57,158.11,158.627,6.57781818182,0.027,3.400732
58,162.975,163.357,8.56679581152,0.048,3.272516
59,167.529,167.896,8.09578201635,0.03,2.971152
60,172.248,172.64,7.75739795918,0.042,3.0409
61,177.622,178.05,8.9721682243,0.048,3.840088
62,182.838,183.332,7.03515789474,0.034,3.475368
63,187.475,187.696,5.30568325792,0.102,1.172556
