ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,0.375,0.5,13.525472,0.034,1.690684
2,0.807,0.914,15.9501308411,0.056,1.706664
3,1.876,2.694,8.69971149144,0.1,7.116364
4,7.373,7.784,15.9854890511,0.059,6.570036
5,12.311,12.961,10.7880184615,0.053,7.012212
6,17.764,19.386,3.99610110974,0.115,6.481676
7,24.268,25.027,9.31157312253,0.104,7.067484
8,28.999,29.874,7.52494171429,0.06,6.584324
9,34.97,37.332,2.95666215072,0.222,6.983636
10,40.838,44.343,1.90247417974,0.244,6.668172
11,46.503,48.706,3.04153790286,0.735,6.700508
12,51.318,51.737,16.1262720764,0.219,6.756908
13,57.705,63.526,1.16187940216,0.63,6.7633
14,65.957,66.958,7.08127072927,0.075,7.088352
15,71.658,72.124,14.4041888412,0.104,6.712352
16,77.501,78.118,10.5645640194,0.12,6.518336
17,82.48,83.068,12.1857891156,0.057,7.165244
18,88.146,89.415,5.66666666667,0.086,7.191
19,94.261,95.118,8.12107351225,0.144,6.95976
20,99.842,100.38,12.6788178439,0.114,6.821204
21,105.382,105.95,11.9621619718,0.109,6.794508
22,110.607,111.021,14.73847343,0.073,6.101728
23,115.611,116.155,13.4813970588,0.181,7.33388
24,121.563,121.846,19.7559434629,0.089,5.590932
