ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,1.016,1.177,2.60047204969,0.13,0.418676
2,1.241,1.355,4.14259649123,0.098,0.472256
3,1.51,1.688,2.55173033708,0.158,0.454208
4,1.843,2.059,2.2707962963,0.197,0.490492
5,2.476,2.7,0.162946428571,0.215,0.0365
6,2.981,3.659,4.78928613569,0.224,3.247136
7,5.825,7.775,1.54266051282,1.756,3.008188
8,10.058,11.32,1.97370206022,1.166,2.490812
9,13.209,14.401,2.23344630872,1.022,2.662268
10,16.341,17.624,1.83999688231,1.139,2.360716
11,19.381,20.451,1.6686317757,0.944,1.785436
12,21.73,22.996,2.78391469194,0.269,3.524436
13,24.974,26.877,1.84087861272,0.408,3.503192
14,28.341,29.78,2.25913551077,0.251,3.250896
15,31.297,32.186,3.72447244094,0.214,3.311056
16,34.154,35.102,3.84170464135,0.193,3.641936
17,37.312,38.63,2.90900758725,0.237,3.834072
18,40.54,42.286,1.70933562428,1.607,2.9845
19,44.397,46.562,1.39111316397,1.967,3.01176
20,48.889,50.386,1.86731596526,1.328,2.795372
21,52.537,53.534,3.37645737212,0.21,3.366328
22,55.532,56.552,3.41828235294,0.219,3.486648
23,58.624,59.526,4.26730820399,0.222,3.849112
24,61.94,62.977,3.30187463838,0.23,3.424044
25,64.972,68.239,1.06907376798,2.609,3.492664
26,70.345,71.379,3.37981818182,0.217,3.494732
27,73.322,74.025,4.68609388336,0.18,3.294324
28,75.995,76.928,3.52404287245,0.174,3.287932
29,78.866,79.98,2.96175942549,0.16,3.2994
30,81.952,83.612,2.31817590361,0.46,3.848172
31,85.592,87.231,2.24969127517,0.337,3.687244
32,89.125,89.867,4.89332075472,0.137,3.630844
33,92.172,93.845,2.1269958159,0.223,3.558464
34,95.137,97.394,1.53431989366,0.243,3.46296
35,98.192,98.989,3.9501229611,0.272,3.148248
36,100.97,102.743,1.70769317541,1.561,3.02774
37,104.771,105.771,3.313312,0.231,3.313312
38,107.557,108.944,2.33190483057,0.336,3.234352
39,110.509,111.806,2.00393215112,1.183,2.5991
40,113.886,114.817,3.26687862513,0.812,3.041464
41,117.066,118.074,2.82652777778,0.839,2.84914
42,120.161,121.227,2.13695684803,0.864,2.277996
43,122.922,123.982,3.14492075472,0.172,3.333616
44,125.72,126.83,2.22043243243,0.991,2.46468
45,128.671,129.734,2.77047977422,0.933,2.94502
46,131.841,133.028,2.07671103623,1.04,2.465056
47,134.936,136.151,2.54689711934,1.015,3.09448
48,138.435,139.383,3.54027004219,0.184,3.356176
49,141.377,142.388,3.35517705242,0.324,3.392084
50,144.457,145.788,2.49456649136,0.293,3.320268
51,147.39,148.46,3.09426915888,0.237,3.310868
52,150.257,151.06,1.28064757161,0.71,1.02836
53,151.769,152.191,0.287345971564,0.408,0.12126
