ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,4.126,4.322,2.02195918367,0.103,0.396304
2,5.673,5.917,1.58798360656,0.135,0.387468
3,5.968,6.192,1.827125,0.117,0.409276
4,6.306,6.512,1.94297087379,0.076,0.400252
5,6.989,7.252,4.84439543726,0.13,1.274076
6,9.024,9.349,3.24227692308,0.123,1.05374
7,10.489,11.004,2.84956893204,0.246,1.467528
8,12.278,12.423,6.9235862069,0.096,1.00392
9,13.572,13.99,3.17800956938,0.08,1.328408
10,15.134,16.079,1.17793439153,0.495,1.113148
11,16.917,16.986,18.5466086957,0.021,1.279716
12,18.477,19.088,1.77630769231,0.041,1.085324
13,19.743,19.813,17.8653714286,0.022,1.250576
14,21.405,21.681,3.65442028986,0.047,1.00862
15,22.676,22.926,5.244448,0.043,1.311112
16,24.132,24.228,11.8067916667,0.025,1.133452
17,25.599,25.686,14.5494712644,0.021,1.265804
18,27.242,27.369,8.66872440945,0.042,1.100928
19,28.536,28.922,3.3172746114,0.042,1.280468
20,30.142,30.444,3.39209271523,0.031,1.024412
21,31.446,31.756,4.25910967742,0.054,1.320324
22,32.986,33.244,4.3808372093,0.094,1.130256
23,34.192,34.618,2.93562441315,0.116,1.250576
24,35.841,35.914,14.6099178082,0.02,1.066524
25,37.023,37.106,13.5563855422,0.024,1.12518
26,38.328,38.797,2.55022601279,0.197,1.196056
27,39.841,40.065,4.80407142857,0.035,1.076112
28,41.17,41.603,3.02059122402,0.08,1.307916
29,42.726,42.909,5.39857923497,0.028,0.98794
30,44.023,44.101,16.7657435897,0.023,1.307728
31,45.337,45.681,3.26376744186,0.049,1.122736
32,46.663,46.76,12.590185567,0.019,1.221248
33,47.982,48.102,8.9347,0.024,1.072164
34,49.259,49.398,10.5171798561,0.043,1.461888
35,51.315,51.604,3.4841799308,0.035,1.006928
36,55.891,56.616,1.86936827586,0.031,1.355292
37,61.344,62.09,1.53449329759,0.053,1.144732
38,66.071,66.357,3.82047552448,0.032,1.092656
39,71.229,71.584,3.17058028169,0.045,1.125556
40,76.338,76.634,4.69301351351,0.021,1.389132
41,81.374,81.814,2.28334545455,0.029,1.004672
42,86.092,86.179,15.4462528736,0.02,1.343824
43,91.302,92.031,1.594260631,0.034,1.162216
44,96.166,96.386,5.81005454545,0.052,1.278212
45,101.364,101.44,14.8470526316,0.026,1.128376
46,106.061,106.808,1.8440107095,0.084,1.377476
47,111.473,111.562,11.4701123596,0.023,1.02084
48,116.066,116.333,3.53608988764,0.058,0.944136
