ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,0.799,1.262,1.78092440605,0.176,0.824568
2,1.287,2.141,1.00956440281,0.233,0.862168
3,2.64,4.93,2.50499737991,0.289,5.736444
4,7.519,9.753,3.16604118174,0.209,7.072936
5,14.19,17.26,2.2601029316,0.215,6.938516
6,20.038,22.469,2.9354603044,0.208,7.136104
7,26.69,28.81,3.36732830189,0.145,7.138736
8,33.09,35.249,3.33558499305,0.18,7.201528
9,39.152,42.123,2.45380814541,0.207,7.290264
10,45.604,48.658,2.25907793058,0.215,6.899224
11,51.525,53.765,3.12029642857,0.207,6.989464
12,57.775,61.914,1.71307562213,0.207,7.09042
13,64.81,67.288,2.81529620662,0.224,6.976304
14,71.312,76.014,1.47429264143,0.128,6.932124
15,77.245,79.909,2.58154204204,0.22,6.877228
16,83.735,85.825,3.51811866029,0.202,7.352868
17,89.772,92.97,2.18839524703,0.312,6.998488
18,96.027,97.463,5.01420612813,0.141,7.2004
19,101.971,104.077,3.31919088319,0.14,6.990216
20,107.961,108.648,0.479176128093,0.188,0.329194
