ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,1.028,1.541,2.4293411306,0.217,1.246252
2,1.694,2.57,1.45936073059,0.063,1.2784
3,2.774,3.557,0.263318007663,0.555,0.206178
4,3.673,5.543,2.54360213904,0.051,4.756536
5,5.657,7.306,4.31932565191,0.065,7.122568
6,12.596,14.529,3.20339161924,0.034,6.192156
7,17.419,19.96,2.82776859504,0.041,7.18536
8,22.795,28.012,1.34767567568,0.037,7.030824
9,29.402,30.907,4.84128106312,0.042,7.286128
10,35.094,36.658,4.58772890026,0.037,7.175208
11,40.633,43.54,2.50563192294,0.033,7.283872
12,46.04,48.087,3.43717635564,0.038,7.0359
13,51.932,53.431,4.71078585724,0.108,7.061468
14,57.036,59.422,3.03084995809,0.039,7.231608
15,63.097,65.467,2.84086244726,0.034,6.732844
16,68.669,70.839,2.91391336406,0.041,6.323192
17,73.57,75.691,3.34163130599,0.033,7.0876
18,79.195,83.094,1.86620979738,0.166,7.276352
19,85.741,87.658,3.76970892019,0.035,7.226532
20,91.309,92.676,5.18560936357,0.037,7.088728
21,97.181,102.849,1.3043246295,0.033,7.392912
22,104.885,107.435,2.63037803922,0.039,6.707464
23,110.455,113.355,2.48853655172,0.038,7.216756
24,116.448,119.075,2.71530110392,0.035,7.133096
25,121.952,127.404,1.3118595011,0.085,7.152258
