ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,0.717,0.743,27.4624615385,0.016,0.714024
2,0.889,0.949,9.37493333333,0.016,0.562496
3,1.107,1.185,7.3078974359,0.029,0.570016
4,1.491,1.548,9.54842105263,0.039,0.54426
5,2.005,2.098,6.34752688172,0.058,0.59032
6,2.654,2.722,8.33558823529,0.055,0.56682
7,3.072,3.167,6.03974736842,0.055,0.573776
8,3.588,3.655,8.44597014925,0.03,0.56588
9,4.11,4.388,2.04433093525,0.095,0.568324
10,4.685,4.723,14.8965263158,0.016,0.566068
11,5.17,5.251,7.07901234568,0.038,0.5734
12,5.717,5.978,2.16956321839,0.227,0.566256
13,6.322,6.397,7.57765333333,0.051,0.568324
14,6.879,6.922,13.168744186,0.023,0.566256
15,10.971,11.027,10.1486428571,0.019,0.568324
16,20.891,20.936,12.5918222222,0.023,0.566632
17,31.058,31.115,9.97059649123,0.04,0.568324
18,41.047,41.106,9.60711864407,0.035,0.56682
19,51.007,51.043,15.7815555556,0.027,0.568136
20,61.206,61.289,6.8178313253,0.065,0.56588
21,71.291,71.366,7.57765333333,0.052,0.568324
22,81.156,81.347,2.77078534031,0.148,0.52922
