SessionID, CDN ID, ISP ID, City ID, Day, Hour 
1,1,83,33291,78,19
2,1,83,33291,29,19
3,1,83,33291,29,19
4,1,83,33291,43,21
5,1,83,33291,33,19
6,1,83,33291,21,23
7,1,83,33291,21,22
8,1,83,33291,21,22
9,1,83,33291,78,21
10,1,83,33291,71,19
11,1,83,33291,70,21
12,1,83,33291,64,18
13,1,83,33291,63,18
14,1,83,33291,70,18
15,1,83,33291,77,19
16,1,83,33291,70,21
17,1,83,33291,78,18
18,1,83,33291,68,22
19,1,83,33291,29,18
20,1,83,33291,91,21
21,1,83,33291,71,19
22,1,83,33291,69,18
23,1,83,33291,43,21
24,1,83,33291,29,18
25,1,83,33291,63,23
26,1,83,33291,43,21
27,1,83,33291,43,21
28,1,83,33291,70,22
29,1,83,33291,34,21
30,1,83,33291,53,21
31,1,83,33291,70,23
32,1,83,33291,6,20
33,1,83,33291,43,20
34,1,83,33291,69,22
35,1,83,33291,25,21
36,1,83,33291,90,21
37,1,83,33291,91,20
38,1,83,33291,5,19
39,1,83,33291,71,21
40,1,83,33291,53,20
41,1,83,33291,29,18
42,1,83,33291,35,20
43,1,83,33291,43,21
44,1,83,33291,71,19
45,1,83,33291,68,22
46,1,83,33291,63,18
47,1,83,33291,61,20
48,1,83,33291,69,20
49,1,83,33291,62,18
50,1,83,33291,70,18
51,1,83,33291,91,23
52,1,83,33291,71,21
53,1,83,33291,89,21
54,1,83,33291,63,19
55,1,83,33291,75,18
56,1,83,33291,63,19
57,1,83,33291,68,19
58,1,83,33291,53,20
59,1,83,33291,63,19
60,1,83,33291,69,19
61,1,83,33291,75,19
62,1,83,33291,70,21
63,1,83,33291,71,20
64,1,83,33291,27,18
65,1,83,33291,13,22
66,1,83,33291,15,18
67,1,83,33291,71,18
68,1,83,33291,71,20
69,1,83,33291,13,23
70,1,83,33291,75,22
71,1,83,33291,34,23
72,1,83,33291,70,23
73,1,83,33291,21,21
74,1,83,33291,90,19
75,1,83,33291,61,22
76,1,83,33291,61,22
77,1,83,33291,74,20
78,1,83,33291,33,18
79,1,83,33291,36,20
80,1,83,33291,6,19
81,1,83,33291,90,18
82,1,83,33291,19,18
83,1,83,33291,35,21
84,1,83,33291,90,21
85,1,83,33291,88,20
86,1,83,33291,68,23
87,1,83,33291,62,20
88,1,83,33291,70,20
89,1,83,33291,63,18
90,1,83,33291,34,20
91,1,83,33291,70,18
92,1,83,33291,68,21
93,1,83,33291,91,20
94,1,83,33291,62,22
95,1,83,33291,91,19
96,1,83,33291,43,21
97,1,83,33291,43,21
98,1,83,33291,88,18
99,1,83,33291,19,18
100,1,83,33291,61,19
101,1,83,33291,34,19
102,1,83,33291,34,18
103,1,83,33291,76,21
104,1,83,33291,29,21
105,1,83,33291,21,21
106,1,83,33291,36,21
107,1,83,33291,36,21
108,1,83,33291,68,21
109,1,83,33291,69,18
110,1,83,33291,14,21
111,1,83,33291,76,18
112,1,83,33291,33,18
113,1,83,33291,89,18
114,1,83,33291,68,19
115,1,83,33291,75,18
116,1,83,33291,19,19
117,1,83,33291,35,19
118,1,83,33291,27,19
119,1,83,33291,91,20
120,1,83,33291,63,19
121,1,83,33291,62,22
122,1,83,33291,90,21
123,1,83,33291,91,20
124,1,83,33291,34,18
125,1,83,33291,33,19
126,1,83,33291,21,21
127,1,83,33291,70,23
128,1,83,33291,91,18
129,1,83,33291,77,18
130,1,83,33291,74,19
131,1,83,33291,34,19
132,1,83,33291,34,19
133,1,83,33291,75,22
134,1,83,33291,75,22
135,1,83,33291,88,18
136,1,83,33291,74,18
137,1,83,33291,22,18
138,1,83,33291,64,18
139,1,83,33291,27,19
140,1,83,33291,62,18
141,1,83,33291,63,18
142,1,83,33291,91,18
143,1,83,33291,76,19
144,1,83,33291,77,19
145,1,83,33291,89,19
146,1,83,33291,89,19
147,1,83,33291,89,19
148,1,83,33291,53,21
149,1,83,33291,69,22
150,1,83,33291,5,22
151,1,83,33291,62,19
152,1,83,33291,71,18
153,1,83,33291,26,19
154,1,83,33291,71,18
155,1,83,33291,6,19
156,1,83,33291,70,23
157,1,83,33291,63,18
158,1,83,33291,74,18
159,1,83,33291,22,18
160,1,83,33291,74,18
161,1,83,33291,53,18
162,1,83,33291,69,21
163,1,83,33291,61,22
164,1,83,33291,70,20
165,1,83,33291,40,23
166,1,83,33291,40,23
167,1,67,26856,81,12
168,1,67,26856,82,12
169,1,67,26856,71,14
170,1,67,26856,13,14
171,1,67,26856,63,14
172,1,67,26856,27,16
173,1,67,26856,62,16
174,1,67,26856,8,14
175,1,67,26856,27,13
176,1,67,26856,28,14
177,1,67,26856,43,16
178,1,67,26856,84,13
179,1,67,26856,77,13
180,1,67,26856,34,17
181,1,67,26856,36,13
182,1,67,26856,19,15
183,1,67,26856,68,13
184,1,67,26856,14,17
185,1,67,26856,39,17
186,1,67,26856,41,15
187,1,67,26856,32,17
188,1,67,26856,74,13
189,1,67,26856,74,13
190,1,67,26856,21,16
191,1,67,26856,21,13
192,1,67,26856,70,13
193,1,67,26856,71,16
194,1,67,26856,12,13
195,1,67,26856,64,15
196,1,67,26856,62,14
197,1,67,26856,69,13
198,1,67,26856,81,13
199,1,67,26856,21,17
200,1,67,26856,53,16
